decade,year,title,term,category,line_text,first_tech_position,first_tech_category
2000,2001,15 minutes,television,communication,"How you go out on a limb for somebody is by giving her a number of an Immigration lawyer.  Here, here's a number of an Immigration lawyer.  That's how you help her. But you can't get involved in her like that.  You're gonna jeopardize your career, your life and you're gonna jeopardize my case.  And lemme give you another piece of advice.  Maybe you don't watch TV but I'll let you in on a little secret - the whole fuckin' world watches television.  And when you get out there, they know your face.  And the little fame, the little fuckin' itty bitty fame that I get in this city makes it a lot easier for my job.  And I get more done because of it.",0.674347158218126,communication
2000,2001,15 minutes,tv,communication,"How you go out on a limb for somebody is by giving her a number of an Immigration lawyer.  Here, here's a number of an Immigration lawyer.  That's how you help her. But you can't get involved in her like that.  You're gonna jeopardize your career, your life and you're gonna jeopardize my case.  And lemme give you another piece of advice.  Maybe you don't watch TV but I'll let you in on a little secret - the whole fuckin' world watches television.  And when you get out there, they know your face.  And the little fame, the little fuckin' itty bitty fame that I get in this city makes it a lot easier for my job.  And I get more done because of it.",0.674347158218126,communication
2000,2001,15 minutes,tv,communication,I don't even watch TV.,0.8636363636363636,communication
2000,2001,15 minutes,phone,communication,Answer the phone.,0.6470588235294118,communication
2000,2001,15 minutes,phone,communication,Don't worry about the damn phone.  I won't answer it.,0.5094339622641509,communication
2000,2001,15 minutes,television,communication,Million?!  The killer gets one million dollars for a television interview?,0.7162162162162162,communication
2000,2001,15 minutes,phone,communication,"Take your eyes off her, Oleg!  Look.  It wasn't my fault you two were caught.  It's his fault.  Trying to get the bank clerk's phone number?!  I wasn't going to wait!!!",0.7559523809523809,communication
1960,1968,2001: a space odyssey,computer,computational,"I'm sorry, Dave, but in accordance with sub-routine C1532/4, quote, When the crew are dead or incapacitated, the computer must assume control, unquote. I must, therefore, override your authority now since you are not in any condition to intel- ligently exercise it.",0.42641509433962266,computational
1960,1968,2001: a space odyssey,phone,communication,"I'm terribly sorry. I was just on my way down to meet you. I saw your ship dock and I knew I had plenty of time, and I was on my way out of the office when, suddenly, the phone rang.",0.9395604395604396,communication
1960,1968,2001: a space odyssey,phone,communication,"Yes. Well, for one thing, whenever you phone the base, all you can get is a recording which repeats that the phone lines are temporarily out of order.",0.26,communication
1960,1968,2001: a space odyssey,device,computational,"Well, not really. At first glance, black would suggest something sun-powered, but then why would anyone deliberately bury a sun- powered device?",0.9513888888888888,computational
1960,1968,2001: a space odyssey,phone,communication,"Well, I'll tell you why I ask. You see, I've got a girl who works in the Auditing Department of the Territorial Administrator and I haven't been able to get her on the phone for the past week or so, and with all these stories one hears, I'm a little concerned about her.",0.6222222222222222,communication
1980,1982,48 hrs.,tv,communication,"Yeah, too bad.  They were real nice lookin' too...In bed together, hardly any clothes one watching TV...",0.9519230769230769,communication
1980,1982,48 hrs.,phone,communication,You missed ... Luther took a taxi to the hotel across the street. Made a phone call.,0.8690476190476191,communication
1980,1982,48 hrs.,phone,communication,"If we come outta this joint with Ganz' phone number, or a dead Indian, or anything else useful, then you could turn the other way for half an hour while I get laid...",0.23493975903614459,communication
1980,1982,48 hrs.,phone,communication,Who'd you call on the phone back at the booking station?,0.39285714285714285,communication
1980,1982,48 hrs.,tv,communication,"It might pay to reexamine a few of your more primitive notions.  I was in bed with a girlfriend watching TV last week, Jack, and one thing we know about me is I happen not to be a lesbian ... Now, if this Indian's girlfriend got upset when you came looking for him, it could just be she's still vulnerable to him.",0.3354632587859425,communication
1990,1997,the fifth element,radio,communication,"I'm sorry to have to resort to such methods, but we heard about your good luck on he radio and we need the tickets to Fhloston.",0.6692913385826772,communication
1990,1997,the fifth element,phone,communication,"She's not my bride, she's my fare. She's looking for this Vito Cornelius. According to the phone guide he lives here.",0.7777777777777778,communication
1990,1997,the fifth element,radio,communication,"They've been blaring out your name on the radio for the last hour, blockhead!",0.5454545454545454,communication
1990,1997,the fifth element,radio,communication,"I didn't come here to play Dumbo on the radio. So tomorrow between 5 and 7 give yourself a hand, that clear pal?",0.35714285714285715,communication
1990,1997,the fifth element,machine,computational,But I don't know love... I'm like a machine programmed to save other people's lives but never to have one of my own.,0.3103448275862069,computational
1990,1997,the fifth element,screen,computational,You get that off the screen?,0.75,computational
1990,1997,the fifth element,screen,computational,Sometimes you can't learn everything from a screen..sometimes it's better to ask someone who has experience..,0.4036697247706422,computational
1990,1997,the fifth element,phone,communication,Who gives a shit! I didn't come here to listen to music! Listen up instead of running off at the mouth! The batteries on my phone are almost gone.,0.8493150684931506,communication
1990,1997,the fifth element,screen,computational,Really? Maybe I can get you on my screen and see you at last!,0.5573770491803278,computational
1990,1999,8mm,phone,communication,Why haven't you called?  Why don't you answer your phone?,0.8947368421052632,communication
1990,1999,8mm,phone,communication,"I'm okay.  Please, honey, I can't explain.  Don't use the phone, just pack a bag and get out.  I'm on my way.  I'll be back at the house in three hours.  Call me from the hotel when you get there",0.29743589743589743,communication
1990,1999,8mm,machine,computational,I promised him to Machine.,0.6923076923076923,computational
1990,1999,8mm,phone,communication,"There's nothing there, you brain- dead cunt.  Think about it.  There's absolutely no way in this world to connect us to anything.  I want you to hang the phone up, and if you call me about this again I'm going to send a friend of mine out there and have him crack you open with a fucking rib spreader.",0.5116279069767442,communication
1990,1999,8mm,machine,computational,Machine's in?,0.0,computational
1990,1999,8mm,machine,computational,Machine.,0.0,computational
1990,1999,8mm,machine,computational,"Files are mostly by state and year of disappearance.  We try to keep the children and adults separate. No eating or smoking in here, but there's a coffee machine in the hall.",0.8850574712643678,computational
